Sex,Discipline,Subdiscipline,Count,Year
Female,Science,Political science and public administration,19743,2002
Female,Science,Sociology,17997,2002
Female,Science,Other social sciences,10798,2002
Female,Engineering,Aerospace,384,2003
Female,Engineering,Chemical,2013,2003
Female,Engineering,Civil,2249,2003
Female,Engineering,Electrical,2918,2003
Female,Engineering,Industrial,1312,2003
Female,Engineering,Materials,276,2003
Female,Engineering,Mechanical,1859,2003
Female,Engineering,Other,1969,2003
Female,Science,Agricultural sciences,8963,2003
Female,Science,Biological sciences,39494,2003
Female,Science,Atmospheric sciences,176,2003
Female,Science,Earth sciences,1406,2003
Female,Science,Oceanography,69,2003
Female,Science,Computer sciences,15668,2003
Female,Science,Mathematics and statistics,5870,2003
Female,Science,Astronomy,110,2003
Female,Science,Chemistry,4680,2003
Female,Science,Physics,837,2003
Female,Science,Other physical sciences,252,2003
Female,Science,Psychology,61534,2003
Female,Science,Anthropology,5230,2003
Female,Science,Area and ethnic studies,3690,2003
Female,Science,Economics,8093,2003
Female,Science,History of science,54,2003
Female,Science,Linguistics,624,2003
Female,Science,Political science and public administration,22522,2003
Female,Science,Sociology,18642,2003
Female,Science,Other social sciences,12046,2003
Female,Engineering,Aerospace,413,2004
Female,Engineering,Chemical,1833,2004
Female,Engineering,Civil,2279,2004
Female,Engineering,Electrical,3043,2004
Female,Engineering,Industrial,1265,2004
Female,Engineering,Materials,270,2004
Female,Engineering,Mechanical,1947,2004
Female,Engineering,Other,2213,2004
Female,Science,Agricultural sciences,8722,2004
Female,Science,Biological sciences,40431,2004
Female,Science,Atmospheric sciences,203,2004
Female,Science,Earth sciences,1358,2004
Female,Science,Oceanography,86,2004
Female,Science,Computer sciences,15066,2004
Female,Science,Mathematics and statistics,6307,2004
Female,Science,Astronomy,123,2004
Female,Science,Chemistry,4752,2004
Female,Science,Physics,907,2004
Female,Science,Other physical sciences,216,2004
Female,Science,Psychology,64284,2004
Female,Science,Anthropology,5281,2004
Female,Science,Area and ethnic studies,4081,2004
Female,Science,Economics,8277,2004
Female,Science,History of science,73,2004
Female,Science,Linguistics,717,2004
Female,Science,Political science and public administration,24408,2004
Female,Science,Sociology,19302,2004
Female,Science,Other social sciences,12940,2004
Female,Engineering,Aerospace,404,2005
Female,Engineering,Chemical,1776,2005
Female,Engineering,Civil,2349,2005
Female,Engineering,Electrical,2845,2005
Female,Engineering,Industrial,1270,2005
Female,Engineering,Materials,282,2005
Female,Engineering,Mechanical,1947,2005
Female,Engineering,Other,2330,2005
Female,Science,Agricultural sciences,8737,2005
Female,Science,Biological sciences,42274,2005
Female,Science,Atmospheric sciences,241,2005
Female,Science,Earth sciences,1351,2005
Female,Science,Oceanography,68,2005
Female,Science,Computer sciences,12159,2005
Female,Science,Mathematics and statistics,6609,2005
Female,Science,Astronomy,143,2005
Female,Science,Chemistry,5144,2005
Female,Science,Physics,900,2005
Female,Science,Other physical sciences,228,2005
Female,Science,Psychology,66932,2005
Female,Science,Anthropology,5380,2005
Female,Science,Area and ethnic studies,4267,2005
Female,Science,Economics,8139,2005
Female,Science,History of science,64,2005
Female,Science,Linguistics,729,2005
Female,Science,Political science and public administration,26410,2005
Female,Science,Sociology,20126,2005
Female,Science,Other social sciences,13186,2005
Female,Engineering,Aerospace,501,2006
Female,Engineering,Chemical,1678,2006
Female,Engineering,Civil,2422,2006
Female,Engineering,Electrical,2587,2006
Female,Engineering,Industrial,1174,2006
Female,Engineering,Materials,269,2006
Female,Engineering,Mechanical,2113,2006
Female,Engineering,Other,2594,2006
Female,Science,Agricultural sciences,8909,2006
Female,Science,Biological sciences,45055,2006
Female,Science,Atmospheric sciences,219,2006
Female,Science,Earth sciences,1358,2006
Female,Science,Oceanography,69,2006
Female,Science,Computer sciences,9939,2006
Female,Science,Mathematics and statistics,6875,2006
Female,Science,Astronomy,131,2006
Female,Science,Chemistry,5634,2006
Female,Science,Physics,945,2006
Female,Science,Other physical sciences,243,2006
Female,Science,Psychology,68576,2006
Female,Science,Anthropology,5606,2006
Female,Science,Area and ethnic studies,4512,2006
Female,Science,Economics,7664,2006
Female,Science,History of science,67,2006
Female,Science,Linguistics,754,2006
Female,Science,Political science and public administration,27127,2006
Female,Science,Sociology,19993,2006
Female,Science,Other social sciences,13815,2006
Female,Engineering,Aerospace,452,2007
Female,Engineering,Chemical,1743,2007
Female,Engineering,Civil,2499,2007
Female,Engineering,Electrical,2109,2007
Female,Engineering,Industrial,1056,2007
Female,Engineering,Materials,272,2007
Female,Engineering,Mechanical,2017,2007
Female,Engineering,Other,2505,2007
Female,Science,Agricultural sciences,8915,2007
Female,Science,Biological sciences,48001,2007
Female,Science,Atmospheric sciences,262,2007
Female,Science,Earth sciences,1336,2007
Female,Science,Oceanography,80,2007
Female,Science,Computer sciences,7944,2007
Female,Science,Mathematics and statistics,6827,2007
Female,Science,Astronomy,132,2007
Female,Science,Chemistry,5614,2007
Female,Science,Physics,1024,2007
Female,Science,Other physical sciences,216,2007
Female,Science,Psychology,70052,2007
Female,Science,Anthropology,5630,2007
Female,Science,Area and ethnic studies,4559,2007
Female,Science,Economics,7630,2007
Female,Science,History of science,70,2007
Female,Science,Linguistics,879,2007
Female,Science,Political science and public administration,27545,2007
Female,Science,Sociology,20352,2007
Female,Science,Other social sciences,14354,2007
Female,Engineering,Aerospace,441,2008
Female,Engineering,Chemical,1834,2008
Female,Engineering,Civil,2752,2008
Female,Engineering,Electrical,1907,2008
Female,Engineering,Industrial,1009,2008
Female,Engineering,Materials,272,2008
Female,Engineering,Mechanical,2093,2008
Female,Engineering,Other,2613,2008
Female,Science,Agricultural sciences,9457,2008
Female,Science,Biological sciences,49262,2008
Female,Science,Atmospheric sciences,263,2008
Female,Science,Earth sciences,1430,2008
Female,Science,Oceanography,62,2008
Female,Science,Computer sciences,6884,2008
Female,Science,Mathematics and statistics,6957,2008
Female,Science,Astronomy,120,2008
Female,Science,Chemistry,5909,2008
Female,Science,Physics,988,2008
Female,Science,Other physical sciences,267,2008
Female,Science,Psychology,71682,2008
Female,Science,Anthropology,6120,2008
Female,Science,Area and ethnic studies,4697,2008
Female,Science,Economics,8044,2008
Female,Science,History of science,52,2008
Female,Science,Linguistics,1003,2008
Female,Science,Political science and public administration,28155,2008
Female,Science,Sociology,20121,2008
Female,Science,Other social sciences,15055,2008
Female,Engineering,Aerospace,437,2009
Female,Engineering,Chemical,1917,2009
Female,Engineering,Civil,2755,2009
Female,Engineering,Electrical,1606,2009
Female,Engineering,Industrial,1056,2009
Female,Engineering,Materials,263,2009
Female,Engineering,Mechanical,1972,2009
Female,Engineering,Other,2744,2009
Female,Science,Agricultural sciences,9818,2009
Female,Science,Biological sciences,51097,2009
Female,Science,Atmospheric sciences,235,2009
Female,Science,Earth sciences,1470,2009
Female,Science,Oceanography,63,2009
Female,Science,Computer sciences,6894,2009
Female,Science,Mathematics and statistics,6971,2009
Female,Science,Astronomy,146,2009
Female,Science,Chemistry,6106,2009
Female,Science,Physics,925,2009
Female,Science,Other physical sciences,274,2009
Female,Science,Psychology,73164,2009
Female,Science,Anthropology,6430,2009
Female,Science,Area and ethnic studies,4866,2009
Female,Science,Economics,8346,2009
Female,Science,History of science,52,2009
Female,Science,Linguistics,975,2009
Female,Science,Political science and public administration,28135,2009
Female,Science,Sociology,20129,2009
Female,Science,Other social sciences,15847,2009
Female,Engineering,Aerospace,463,2010
Female,Engineering,Chemical,2149,2010
Female,Engineering,Civil,2893,2010
Female,Engineering,Electrical,1740,2010
Female,Engineering,Industrial,1136,2010
Female,Engineering,Materials,294,2010
Female,Engineering,Mechanical,2163,2010
Female,Engineering,Other,2855,2010
Female,Science,Agricultural sciences,10709,2010
Female,Science,Biological sciences,52878,2010
Female,Science,Atmospheric sciences,236,2010
Female,Science,Earth sciences,1566,2010
Female,Science,Oceanography,87,2010
Female,Science,Computer sciences,7306,2010
Female,Science,Mathematics and statistics,7248,2010
Female,Science,Astronomy,140,2010
Female,Science,Chemistry,6162,2010
Female,Science,Physics,1015,2010
Female,Science,Other physical sciences,281,2010
Female,Science,Psychology,75336,2010
Female,Science,Anthropology,6703,2010
Female,Science,Area and ethnic studies,4701,2010
Female,Science,Economics,8895,2010
Female,Science,History of science,76,2010
Female,Science,Linguistics,1124,2010
Female,Science,Political science and public administration,29799,2010
Female,Science,Sociology,20142,2010
Female,Science,Other social sciences,16186,2010
Female,Engineering,Aerospace,439,2011
Female,Engineering,Chemical,2307,2011
Female,Engineering,Civil,3278,2011
Female,Engineering,Electrical,1741,2011
Female,Engineering,Industrial,1164,2011
Female,Engineering,Materials,321,2011
Female,Engineering,Mechanical,2208,2011
Female,Engineering,Other,3200,2011
Female,Science,Agricultural sciences,11855,2011
Female,Science,Biological sciences,55794,2011
Female,Science,Atmospheric sciences,217,2011
Female,Science,Earth sciences,1760,2011
Female,Science,Oceanography,103,2011
Female,Science,Computer sciences,7700,2011
Female,Science,Mathematics and statistics,7745,2011
Female,Science,Astronomy,136,2011
Female,Science,Chemistry,6328,2011
Female,Science,Physics,1001,2011
Female,Science,Other physical sciences,329,2011
Female,Science,Psychology,78167,2011
Female,Science,Anthropology,7024,2011
Female,Science,Area and ethnic studies,5054,2011
Female,Science,Economics,9187,2011
Female,Science,History of science,78,2011
Female,Science,Linguistics,1235,2011
Female,Science,Political science and public administration,30777,2011
Female,Science,Sociology,20626,2011
Female,Science,Other social sciences,19333,2011
Female,Engineering,Aerospace,463,2012
Female,Engineering,Chemical,2535,2012
Female,Engineering,Civil,3428,2012
Female,Engineering,Electrical,1923,2012
Female,Engineering,Industrial,1276,2012
Female,Engineering,Materials,368,2012
Female,Engineering,Mechanical,2538,2012
Female,Engineering,Other,3450,2012
Female,Science,Agricultural sciences,13444,2012
Female,Science,Biological sciences,59217,2012
Female,Science,Atmospheric sciences,263,2012
Female,Science,Earth sciences,1926,2012
Female,Science,Oceanography,106,2012
Female,Science,Computer sciences,8730,2012
Female,Science,Mathematics and statistics,8536,2012
Female,Science,Astronomy,153,2012
Female,Science,Chemistry,6730,2012
Female,Science,Physics,1062,2012
Female,Science,Other physical sciences,339,2012
Female,Science,Psychology,84126,2012
Female,Science,Anthropology,7927,2012
Female,Science,Area and ethnic studies,5145,2012
Female,Science,Economics,8780,2012
Female,Science,History of science,73,2012
Female,Science,Linguistics,1420,2012
Female,Science,Political science and public administration,31493,2012
Female,Science,Sociology,21169,2012
Female,Science,Other social sciences,20919,2012
Female,Engineering,Aerospace,479,2013
Female,Engineering,Chemical,2657,2013
Female,Engineering,Civil,3656,2013
Female,Engineering,Electrical,2067,2013
Female,Engineering,Industrial,1282,2013
Female,Engineering,Materials,430,2013
Female,Engineering,Mechanical,2687,2013
Female,Engineering,Other,3676,2013
Female,Science,Agricultural sciences,14826,2013
Female,Science,Biological sciences,61971,2013
Female,Science,Atmospheric sciences,249,2013
Female,Science,Earth sciences,2032,2013
Female,Science,Oceanography,119,2013
Female,Science,Computer sciences,9209,2013
Female,Science,Mathematics and statistics,9297,2013
Female,Science,Astronomy,128,2013
Female,Science,Chemistry,6718,2013
Female,Science,Physics,1162,2013
Female,Science,Other physical sciences,339,2013
Female,Science,Psychology,88329,2013
Female,Science,Anthropology,8175,2013
Female,Science,Area and ethnic studies,4987,2013
Female,Science,Economics,9185,2013
Female,Science,History of science,77,2013
Female,Science,Linguistics,1492,2013
Female,Science,Political science and public administration,31473,2013
Female,Science,Sociology,21522,2013
Female,Science,Other social sciences,21474,2013
Female,Engineering,Aerospace,488,2014
Female,Engineering,Chemical,2977,2014
Female,Engineering,Civil,3701,2014
Female,Engineering,Electrical,2331,2014
Female,Engineering,Industrial,1454,2014
Female,Engineering,Materials,412,2014
Female,Engineering,Mechanical,3107,2014
Female,Engineering,Other,4156,2014
Female,Science,Agricultural sciences,15525,2014
Female,Science,Biological sciences,64709,2014
Female,Science,Atmospheric sciences,258,2014
Female,Science,Earth sciences,2216,2014
Female,Science,Oceanography,122,2014
Female,Science,Computer sciences,10144,2014
Female,Science,Mathematics and statistics,9511,2014
Female,Science,Astronomy,170,2014
Female,Science,Chemistry,7097,2014
Female,Science,Physics,1186,2014
Female,Science,Other physical sciences,362,2014
Female,Science,Psychology,90851,2014
Female,Science,Anthropology,8083,2014
Female,Science,Area and ethnic studies,4683,2014
Female,Science,Economics,9762,2014
Female,Science,History of science,81,2014
Female,Science,Linguistics,1517,2014
Female,Science,Political science and public administration,31082,2014
Female,Science,Sociology,21074,2014
Female,Science,Other social sciences,20841,2014
Female,Engineering,Aerospace,515,2015
Female,Engineering,Chemical,3186,2015
Female,Engineering,Civil,3779,2015
Female,Engineering,Electrical,2541,2015
Female,Engineering,Industrial,1637,2015
Female,Engineering,Materials,473,2015
Female,Engineering,Mechanical,3443,2015
Female,Engineering,Other,4483,2015
Female,Science,Agricultural sciences,16234,2015
Female,Science,Biological sciences,68570,2015
Female,Science,Atmospheric sciences,265,2015
Female,Science,Earth sciences,2327,2015
Female,Science,Oceanography,109,2015
Female,Science,Computer sciences,10863,2015
Female,Science,Mathematics and statistics,9922,2015
Female,Science,Astronomy,144,2015
Female,Science,Chemistry,7108,2015
Female,Science,Physics,1219,2015
Female,Science,Other physical sciences,294,2015
Female,Science,Psychology,91688,2015
Female,Science,Anthropology,7351,2015
Female,Science,Area and ethnic studies,4378,2015
Female,Science,Economics,10660,2015
Female,Science,History of science,72,2015
Female,Science,Linguistics,1575,2015
Female,Science,Political science and public administration,29790,2015
Female,Science,Sociology,20389,2015
Female,Science,Other social sciences,19920,2015
Male,Engineering,Aerospace,1029,2000
Male,Engineering,Chemical,4016,2000
Male,Engineering,Civil,7246,2000
Male,Engineering,Electrical,15325,2000
Male,Engineering,Industrial,2630,2000
Male,Engineering,Materials,704,2000
Male,Engineering,Mechanical,11309,2000
Male,Engineering,Other,5022,2000
Male,Science,Agricultural Sciences,9780,2000
Male,Science,Biological Sciences,26936,2000
Male,Science,Atmospheric sciences,376,2000
Male,Science,Earth sciences,1950,2000
Male,Science,Oceanography,87,2000
Male,Science,Computer sciences,26997,2000
Male,Science,Mathematics and statistics,6116,2000
Male,Science,Astronomy,106,2000
Male,Science,Chemistry,5483,2000
Male,Science,Physics,2638,2000
Male,Science,Other physical sciences,363,2000
Male,Science, Psychology,17542,2000
Male,Science,Anthropology,2315,2000
Male,Science,Area and ethnic studies,2043,2000
Male,Science,Economics,13016,2000
Male,Science,History of science,40,2000
Male,Science,Linguistics,226,2000
Male,Science,Political science and public administration,18063,2000
Male,Science,Sociology,7657,2000
Male,Science,Other social sciences,8635,2000
Male,Engineering,Aerospace,1194,2001
Male,Engineering,Chemical,4033,2001
Male,Engineering,Civil,6908,2001
Male,Engineering,Electrical,15817,2001
Male,Engineering,Industrial,2589,2001
Male,Engineering,Materials,667,2001
Male,Engineering,Mechanical,11401,2001
Male,Engineering,Other,4693,2001
Male,Science,Agricultural Sciences,8975,2001
Male,Science,Biological Sciences,24972,2001
Male,Science,Atmospheric sciences,324,2001
Male,Science,Earth sciences,1934,2001
Male,Science,Oceanography,88,2001
Male,Science,Computer sciences,31549,2001
Male,Science,Mathematics and statistics,5951,2001
Male,Science,Astronomy,145,2001
Male,Science,Chemistry,5041,2001
Male,Science,Physics,2692,2001
Male,Science,Other physical sciences,359,2001
Male,Science, Psychology,16694,2001
Male,Science,Anthropology,2192,2001
Male,Science,Area and ethnic studies,1904,2001
Male,Science,Economics,13450,2001
Male,Science,History of science,45,2001
Male,Science,Linguistics,245,2001
Male,Science,Political science and public administration,17999,2001
Male,Science,Sociology,7437,2001
Male,Science,Other social sciences,8473,2001
Male,Engineering,Aerospace,1435,2002
Male,Engineering,Chemical,3823,2002
Male,Engineering,Civil,6667,2002
Male,Engineering,Electrical,16240,2002
Male,Engineering,Industrial,2636,2002
Male,Engineering,Materials,648,2002
Male,Engineering,Mechanical,11574,2002
Male,Engineering,Other,4900,2002
Male,Science,Agricultural Sciences,8725,2002
Male,Science,Biological Sciences,24030,2002
Male,Science,Atmospheric sciences,374,2002
Male,Science,Earth sciences,1788,2002
Male,Science,Oceanography,120,2002
Male,Science,Computer sciences,36016,2002
Male,Science,Mathematics and statistics,6502,2002
Male,Science,Astronomy,160,2002
Male,Science,Chemistry,4716,2002
Male,Science,Physics,2817,2002
Male,Science,Other physical sciences,330,2002
Male,Science, Psychology,17389,2002
Male,Science,Anthropology,2272,2002
Male,Science,Area and ethnic studies,2032,2002
Male,Science,Economics,14436,2002
Male,Science,History of science,40,2002
Male,Science,Linguistics,243,2002
Male,Science,Political science and public administration,18822,2002
Male,Science,Sociology,7299,2002
Male,Science,Other social sciences,8641,2002
Male,Engineering,Aerospace,1633,2003
Male,Engineering,Chemical,3532,2003
Male,Engineering,Civil,7118,2003
Male,Engineering,Electrical,17839,2003
Male,Engineering,Industrial,2625,2003
Male,Engineering,Materials,674,2003
Male,Engineering,Mechanical,12170,2003
Male,Engineering,Other,5218,2003
Male,Science,Agricultural Sciences,8740,2003
Male,Science,Biological Sciences,24023,2003
Male,Science,Atmospheric sciences,386,2003
Male,Science,Earth sciences,1846,2003
Male,Science,Oceanography,66,2003
Male,Science,Computer sciences,42258,2003
Male,Science,Mathematics and statistics,6993,2003
Male,Science,Astronomy,161,2003
Male,Science,Chemistry,4649,2003
Male,Science,Physics,3076,2003
Male,Science,Other physical sciences,345,2003
Male,Science, Psychology,17629,2003
Male,Science,Anthropology,2313,2003
Male,Science,Area and ethnic studies,2055,2003
Male,Science,Economics,15773,2003
Male,Science,History of science,49,2003
Male,Science,Linguistics,290,2003
Male,Science,Political science and public administration,21274,2003
Male,Science,Sociology,7558,2003
Male,Science,Other social sciences,9522,2003
Male,Engineering,Aerospace,1905,2004
Male,Engineering,Chemical,3352,2004
Male,Engineering,Civil,7121,2004
Male,Engineering,Electrical,18331,2004
Male,Engineering,Industrial,2543,2004
Male,Engineering,Materials,595,2004
Male,Engineering,Mechanical,12395,2004
Male,Engineering,Other,5175,2004
Male,Science,Agricultural Sciences,8336,2004
Male,Science,Biological Sciences,24319,2004
Male,Science,Atmospheric sciences,369,2004
Male,Science,Earth sciences,1812,2004
Male,Science,Oceanography,75,2004
Male,Science,Computer sciences,44902,2004
Male,Science,Mathematics and statistics,7428,2004
Male,Science,Astronomy,169,2004
Male,Science,Chemistry,4548,2004
Male,Science,Physics,3233,2004
Male,Science,Other physical sciences,271,2004
Male,Science, Psychology,18322,2004
Male,Science,Anthropology,2350,2004
Male,Science,Area and ethnic studies,2163,2004
Male,Science,Economics,16650,2004
Male,Science,History of science,67,2004
Male,Science,Linguistics,330,2004
Male,Science,Political science and public administration,23101,2004
Male,Science,Sociology,7718,2004
Male,Science,Other social sciences,10281,2004
Male,Engineering,Aerospace,1980,2005
Male,Engineering,Chemical,3113,2005
Male,Engineering,Civil,7451,2005
Male,Engineering,Electrical,18614,2005
Male,Engineering,Industrial,2666,2005
Male,Engineering,Materials,624,2005
Male,Engineering,Mechanical,12933,2005
Male,Engineering,Other,5568,2005
Male,Science,Agricultural Sciences,8383,2005
Male,Science,Biological Sciences,25698,2005
Male,Science,Atmospheric sciences,436,2005
Male,Science,Earth sciences,1795,2005
Male,Science,Oceanography,68,2005
Male,Science,Computer sciences,42429,2005
Male,Science,Mathematics and statistics,8207,2005
Male,Science,Astronomy,188,2005
Male,Science,Chemistry,4779,2005
Male,Science,Physics,3299,2005
Male,Science,Other physical sciences,324,2005
Male,Science, Psychology,19099,2005
Male,Science,Anthropology,2362,2005
Male,Science,Area and ethnic studies,2345,2005
Male,Science,Economics,17021,2005
Male,Science,History of science,53,2005
Male,Science,Linguistics,324,2005
Male,Science,Political science and public administration,25130,2005
Male,Science,Sociology,8430,2005
Male,Science,Other social sciences,10605,2005
Male,Engineering,Aerospace,2252,2006
Male,Engineering,Chemical,3179,2006
Male,Engineering,Civil,8241,2006
Male,Engineering,Electrical,17346,2006
Male,Engineering,Industrial,2716,2006
Male,Engineering,Materials,737,2006
Male,Engineering,Mechanical,14050,2006
Male,Engineering,Other,6368,2006
Male,Science,Agricultural Sciences,8398,2006
Male,Science,Biological Sciences,27917,2006
Male,Science,Atmospheric sciences,432,2006
Male,Science,Earth sciences,1873,2006
Male,Science,Oceanography,36,2006
Male,Science,Computer sciences,38061,2006
Male,Science,Mathematics and statistics,8435,2006
Male,Science,Astronomy,235,2006
Male,Science,Chemistry,5253,2006
Male,Science,Physics,3621,2006
Male,Science,Other physical sciences,328,2006
Male,Science, Psychology,19975,2006
Male,Science,Anthropology,2494,2006
Male,Science,Area and ethnic studies,2463,2006
Male,Science,Economics,17043,2006
Male,Science,History of science,46,2006
Male,Science,Linguistics,447,2006
Male,Science,Political science and public administration,26462,2006
Male,Science,Sociology,8548,2006
Male,Science,Other social sciences,11073,2006
Male,Engineering,Aerospace,2376,2007
Male,Engineering,Chemical,3338,2007
Male,Engineering,Civil,8819,2007
Male,Engineering,Electrical,16438,2007
Male,Engineering,Industrial,2473,2007
Male,Engineering,Materials,753,2007
Male,Engineering,Mechanical,14894,2007
Male,Engineering,Other,6530,2007
Male,Science,Agricultural Sciences,8781,2007
Male,Science,Biological Sciences,31347,2007
Male,Science,Atmospheric sciences,483,2007
Male,Science,Earth sciences,1857,2007
Male,Science,Oceanography,59,2007
Male,Science,Computer sciences,34652,2007
Male,Science,Mathematics and statistics,8724,2007
Male,Science,Astronomy,200,2007
Male,Science,Chemistry,5636,2007
Male,Science,Physics,3846,2007
Male,Science,Other physical sciences,339,2007
Male,Science, Psychology,20446,2007
Male,Science,Anthropology,2456,2007
Male,Science,Area and ethnic studies,2561,2007
Male,Science,Economics,17195,2007
Male,Science,History of science,44,2007
Male,Science,Linguistics,461,2007
Male,Science,Political science and public administration,27053,2007
Male,Science,Sociology,8698,2007
Male,Science,Other social sciences,11238,2007
Male,Engineering,Aerospace,2493,2008
Male,Engineering,Chemical,3670,2008
Male,Engineering,Civil,9491,2008
Male,Engineering,Electrical,15450,2008
Male,Engineering,Industrial,2557,2008
Male,Engineering,Materials,878,2008
Male,Engineering,Mechanical,15592,2008
Male,Engineering,Other,6856,2008
Male,Science,Agricultural Sciences,9017,2008
Male,Science,Biological Sciences,33136,2008
Male,Science,Atmospheric sciences,473,2008
Male,Science,Earth sciences,2023,2008
Male,Science,Oceanography,63,2008
Male,Science,Computer sciences,32038,2008
Male,Science,Mathematics and statistics,8884,2008
Male,Science,Astronomy,226,2008
Male,Science,Chemistry,5923,2008
Male,Science,Physics,3888,2008
Male,Science,Other physical sciences,331,2008
Male,Science, Psychology,21307,2008
Male,Science,Anthropology,2733,2008
Male,Science,Area and ethnic studies,2626,2008
Male,Science,Economics,18237,2008
Male,Science,History of science,51,2008
Male,Science,Linguistics,502,2008
Male,Science,Political science and public administration,27734,2008
Male,Science,Sociology,8787,2008
Male,Science,Other social sciences,11753,2008
Male,Engineering,Aerospace,2600,2009
Male,Engineering,Chemical,3977,2009
Male,Engineering,Civil,10032,2009
Male,Engineering,Electrical,14578,2009
Male,Engineering,Industrial,2823,2009
Male,Engineering,Materials,807,2009
Male,Engineering,Mechanical,15671,2009
Male,Engineering,Other,7362,2009
Male,Science,Agricultural Sciences,9334,2009
Male,Science,Biological Sciences,34477,2009
Male,Science,Atmospheric sciences,486,2009
Male,Science,Earth sciences,2209,2009
Male,Science,Oceanography,79,2009
Male,Science,Computer sciences,31602,2009
Male,Science,Mathematics and statistics,9237,2009
Male,Science,Astronomy,189,2009
Male,Science,Chemistry,6038,2009
Male,Science,Physics,3917,2009
Male,Science,Other physical sciences,347,2009
Male,Science, Psychology,21579,2009
Male,Science,Anthropology,2723,2009
Male,Science,Area and ethnic studies,2732,2009
Male,Science,Economics,19282,2009
Male,Science,History of science,48,2009
Male,Science,Linguistics,503,2009
Male,Science,Political science and public administration,27184,2009
Male,Science,Sociology,8707,2009
Male,Science,Other social sciences,12219,2009
Male,Engineering,Aerospace,2744,2010
Male,Engineering,Chemical,4543,2010
Male,Engineering,Civil,10589,2010
Male,Engineering,Electrical,14550,2010
Male,Engineering,Industrial,3048,2010
Male,Engineering,Materials,844,2010
Male,Engineering,Mechanical,16695,2010
Male,Engineering,Other,7693,2010
Male,Science,Agricultural Sciences,9691,2010
Male,Science,Biological Sciences,36737,2010
Male,Science,Atmospheric sciences,455,2010
Male,Science,Earth sciences,2365,2010
Male,Science,Oceanography,93,2010
Male,Science,Computer sciences,32801,2010
Male,Science,Mathematics and statistics,9584,2010
Male,Science,Astronomy,248,2010
Male,Science,Chemistry,6176,2010
Male,Science,Physics,3985,2010
Male,Science,Other physical sciences,395,2010
Male,Science, Psychology,22410,2010
Male,Science,Anthropology,2863,2010
Male,Science,Area and ethnic studies,2663,2010
Male,Science,Economics,20195,2010
Male,Science,History of science,34,2010
Male,Science,Linguistics,558,2010
Male,Science,Political science and public administration,27850,2010
